date,game_mode,region,map,tier,hero_name,role,pick_rate(%),win_rate(%)
2026-01-24,quickplay,Asia,lijiang-tower,All,벤데타,DAMAGE,13.3,54.2
2026-01-24,quickplay,Asia,lijiang-tower,All,벤처,DAMAGE,5.1,53.0
2026-01-24,quickplay,Asia,lijiang-tower,All,브리기테,SUPPORT,6.4,51.4
2026-01-24,quickplay,Asia,lijiang-tower,All,소전,DAMAGE,14.2,45.4
2026-01-24,quickplay,Asia,lijiang-tower,All,솔저: 76,DAMAGE,16.5,47.8
2026-01-24,quickplay,Asia,lijiang-tower,All,솜브라,DAMAGE,7.8,46.1
2026-01-24,quickplay,Asia,lijiang-tower,All,시그마,TANK,7.8,52.1
2026-01-24,quickplay,Asia,lijiang-tower,All,시메트라,DAMAGE,8.7,62.2
2026-01-24,quickplay,Asia,lijiang-tower,All,아나,SUPPORT,48.8,47.1
2026-01-24,quickplay,Asia,lijiang-tower,All,애쉬,DAMAGE,10.7,46.8
2026-01-24,quickplay,Asia,lijiang-tower,All,에코,DAMAGE,5.9,49.7
2026-01-24,quickplay,Asia,lijiang-tower,All,오리사,TANK,12.9,47.7
2026-01-24,quickplay,Asia,lijiang-tower,All,우양,SUPPORT,18.2,52.7
2026-01-24,quickplay,Asia,lijiang-tower,All,위도우메이커,DAMAGE,2.0,39.2
2026-01-24,quickplay,Asia,lijiang-tower,All,윈스턴,TANK,4.4,49.4
2026-01-24,quickplay,Asia,lijiang-tower,All,일리아리,SUPPORT,11.9,55.9
2026-01-24,quickplay,Asia,lijiang-tower,All,자리야,TANK,10.7,51.2
2026-01-24,quickplay,Asia,lijiang-tower,All,정커퀸,TANK,4.9,54.3
2026-01-24,quickplay,Asia,lijiang-tower,All,정크랫,DAMAGE,11.7,52.0
2026-01-24,quickplay,Asia,lijiang-tower,All,젠야타,SUPPORT,13.1,53.1
2026-01-24,quickplay,Asia,lijiang-tower,All,주노,SUPPORT,13.4,49.9
2026-01-24,quickplay,Asia,lijiang-tower,All,캐서디,DAMAGE,25.3,46.2
2026-01-24,quickplay,Asia,lijiang-tower,All,키리코,SUPPORT,30.3,47.3
2026-01-24,quickplay,Asia,lijiang-tower,All,토르비욘,DAMAGE,3.0,54.7
2026-01-24,quickplay,Asia,lijiang-tower,All,트레이서,DAMAGE,7.3,46.7
2026-01-24,quickplay,Asia,lijiang-tower,All,파라,DAMAGE,12.0,55.9
2026-01-24,quickplay,Asia,lijiang-tower,All,프레야,DAMAGE,6.2,44.5
2026-01-24,quickplay,Asia,lijiang-tower,All,한조,DAMAGE,7.3,49.3
2026-01-24,quickplay,Asia,lijiang-tower,All,해저드,TANK,2.5,50.8
2026-01-24,quickplay,Asia,ilios,All,D.Va,TANK,9.4,48.3
2026-01-24,quickplay,Asia,ilios,All,겐지,DAMAGE,15.1,51.1
2026-01-24,quickplay,Asia,ilios,All,둠피스트,TANK,14.9,50.1
2026-01-24,quickplay,Asia,ilios,All,라마트라,TANK,4.8,48.5
2026-01-24,quickplay,Asia,ilios,All,라이프위버,SUPPORT,9.1,46.2
2026-01-24,quickplay,Asia,ilios,All,라인하르트,TANK,7.4,53.4
2026-01-24,quickplay,Asia,ilios,All,레킹볼,TANK,4.2,46.2
2026-01-24,quickplay,Asia,ilios,All,로드호그,TANK,13.5,49.2
2026-01-24,quickplay,Asia,ilios,All,루시우,SUPPORT,17.3,56.2
2026-01-24,quickplay,Asia,ilios,All,리퍼,DAMAGE,11.2,54.4
2026-01-24,quickplay,Asia,ilios,All,마우가,TANK,3.8,48.0
