date,game_mode,region,map,tier,hero,role,pick_rate,win_rate
2026-01-29,quickplay,Americas,hanaoka,All,정크랫,DAMAGE,13.9,51.5
2026-01-29,quickplay,Americas,hanaoka,All,젠야타,SUPPORT,13.7,55.0
2026-01-29,quickplay,Americas,hanaoka,All,주노,SUPPORT,22.3,49.8
2026-01-29,quickplay,Americas,hanaoka,All,캐서디,DAMAGE,19.5,48.9
2026-01-29,quickplay,Americas,hanaoka,All,키리코,SUPPORT,22.1,46.2
2026-01-29,quickplay,Americas,hanaoka,All,토르비욘,DAMAGE,5.0,57.0
2026-01-29,quickplay,Americas,hanaoka,All,트레이서,DAMAGE,5.4,46.8
2026-01-29,quickplay,Americas,hanaoka,All,파라,DAMAGE,4.3,48.5
2026-01-29,quickplay,Americas,hanaoka,All,프레야,DAMAGE,6.6,43.7
2026-01-29,quickplay,Americas,hanaoka,All,한조,DAMAGE,10.1,48.1
2026-01-29,quickplay,Americas,hanaoka,All,해저드,TANK,3.7,48.3
2026-01-29,quickplay,Americas,nepal,All,D.Va,TANK,9.9,46.9
2026-01-29,quickplay,Americas,nepal,All,겐지,DAMAGE,11.7,49.2
2026-01-29,quickplay,Americas,nepal,All,둠피스트,TANK,11.0,49.6
2026-01-29,quickplay,Americas,nepal,All,라마트라,TANK,8.6,50.9
2026-01-29,quickplay,Americas,nepal,All,라이프위버,SUPPORT,13.0,46.1
2026-01-29,quickplay,Americas,nepal,All,라인하르트,TANK,13.6,55.1
2026-01-29,quickplay,Americas,nepal,All,레킹볼,TANK,3.4,46.2
2026-01-29,quickplay,Americas,nepal,All,로드호그,TANK,9.5,46.6
2026-01-29,quickplay,Americas,nepal,All,루시우,SUPPORT,15.1,54.7
2026-01-29,quickplay,Americas,nepal,All,리퍼,DAMAGE,11.9,53.6
2026-01-29,quickplay,Americas,nepal,All,마우가,TANK,5.2,50.9
2026-01-29,quickplay,Americas,nepal,All,메르시,SUPPORT,28.1,49.1
2026-01-29,quickplay,Americas,nepal,All,메이,DAMAGE,8.7,52.2
2026-01-29,quickplay,Americas,nepal,All,모이라,SUPPORT,26.3,50.6
2026-01-29,quickplay,Americas,nepal,All,바스티온,DAMAGE,16.4,50.3
2026-01-29,quickplay,Americas,nepal,All,바티스트,SUPPORT,7.8,46.5
2026-01-29,quickplay,Americas,nepal,All,벤데타,DAMAGE,16.2,54.2
2026-01-29,quickplay,Americas,nepal,All,벤처,DAMAGE,5.3,51.8
2026-01-29,quickplay,Americas,nepal,All,브리기테,SUPPORT,9.0,53.7
2026-01-29,quickplay,Americas,nepal,All,소전,DAMAGE,11.1,45.5
2026-01-29,quickplay,Americas,nepal,All,솔저: 76,DAMAGE,15.5,48.7
2026-01-29,quickplay,Americas,nepal,All,솜브라,DAMAGE,7.7,47.0
2026-01-29,quickplay,Americas,nepal,All,시그마,TANK,7.9,52.3
2026-01-29,quickplay,Americas,nepal,All,시메트라,DAMAGE,5.6,58.8
2026-01-29,quickplay,Americas,nepal,All,아나,SUPPORT,26.4,47.6
2026-01-29,quickplay,Americas,nepal,All,애쉬,DAMAGE,13.7,48.5
2026-01-29,quickplay,Americas,nepal,All,에코,DAMAGE,7.2,49.3
2026-01-29,quickplay,Americas,nepal,All,오리사,TANK,11.4,47.2
2026-01-29,quickplay,Americas,nepal,All,우양,SUPPORT,10.1,50.8
2026-01-29,quickplay,Americas,nepal,All,위도우메이커,DAMAGE,4.2,41.4
2026-01-29,quickplay,Americas,nepal,All,윈스턴,TANK,3.4,49.5
2026-01-29,quickplay,Americas,nepal,All,일리아리,SUPPORT,9.6,53.8
2026-01-29,quickplay,Americas,nepal,All,자리야,TANK,5.7,48.3
2026-01-29,quickplay,Americas,nepal,All,정커퀸,TANK,6.9,54.0
2026-01-29,quickplay,Americas,nepal,All,정크랫,DAMAGE,15.0,53.0
2026-01-29,quickplay,Americas,nepal,All,젠야타,SUPPORT,13.4,54.4
2026-01-29,quickplay,Americas,nepal,All,주노,SUPPORT,20.1,49.9
2026-01-29,quickplay,Americas,nepal,All,캐서디,DAMAGE,18.4,46.8
2026-01-29,quickplay,Americas,nepal,All,키리코,SUPPORT,21.0,46.4
2026-01-29,quickplay,Americas,nepal,All,토르비욘,DAMAGE,5.2,56.2
2026-01-29,quickplay,Americas,nepal,All,트레이서,DAMAGE,4.6,45.4
2026-01-29,quickplay,Americas,nepal,All,파라,DAMAGE,5.9,52.4
2026-01-29,quickplay,Americas,nepal,All,프레야,DAMAGE,6.4,44.4
2026-01-29,quickplay,Americas,nepal,All,한조,DAMAGE,9.4,49.1
2026-01-29,quickplay,Americas,nepal,All,해저드,TANK,3.4,49.9
2026-01-29,quickplay,Americas,lijiang-tower,All,D.Va,TANK,10.1,47.4
2026-01-29,quickplay,Americas,lijiang-tower,All,겐지,DAMAGE,12.0,50.2
2026-01-29,quickplay,Americas,lijiang-tower,All,둠피스트,TANK,12.9,50.0
2026-01-29,quickplay,Americas,lijiang-tower,All,라마트라,TANK,8.1,50.2
2026-01-29,quickplay,Americas,lijiang-tower,All,라이프위버,SUPPORT,12.8,46.1
2026-01-29,quickplay,Americas,lijiang-tower,All,라인하르트,TANK,13.4,55.4
2026-01-29,quickplay,Americas,lijiang-tower,All,레킹볼,TANK,4.3,47.5
2026-01-29,quickplay,Americas,lijiang-tower,All,로드호그,TANK,8.2,46.3
2026-01-29,quickplay,Americas,lijiang-tower,All,루시우,SUPPORT,19.0,56.2
2026-01-29,quickplay,Americas,lijiang-tower,All,리퍼,DAMAGE,11.5,53.4
2026-01-29,quickplay,Americas,lijiang-tower,All,마우가,TANK,5.0,49.6
2026-01-29,quickplay,Americas,lijiang-tower,All,메르시,SUPPORT,27.9,49.3
2026-01-29,quickplay,Americas,lijiang-tower,All,메이,DAMAGE,8.0,51.2
2026-01-29,quickplay,Americas,lijiang-tower,All,모이라,SUPPORT,25.3,50.2
2026-01-29,quickplay,Americas,lijiang-tower,All,바스티온,DAMAGE,16.2,49.2
2026-01-29,quickplay,Americas,lijiang-tower,All,바티스트,SUPPORT,7.6,46.4
2026-01-29,quickplay,Americas,lijiang-tower,All,벤데타,DAMAGE,15.8,54.7
2026-01-29,quickplay,Americas,lijiang-tower,All,벤처,DAMAGE,5.6,52.4
2026-01-29,quickplay,Americas,lijiang-tower,All,브리기테,SUPPORT,8.8,53.8
2026-01-29,quickplay,Americas,lijiang-tower,All,소전,DAMAGE,10.8,45.7
2026-01-29,quickplay,Americas,lijiang-tower,All,솔저: 76,DAMAGE,14.9,47.7
2026-01-29,quickplay,Americas,lijiang-tower,All,솜브라,DAMAGE,7.4,46.8
2026-01-29,quickplay,Americas,lijiang-tower,All,시그마,TANK,7.5,52.2
2026-01-29,quickplay,Americas,lijiang-tower,All,시메트라,DAMAGE,6.2,59.5
2026-01-29,quickplay,Americas,lijiang-tower,All,아나,SUPPORT,26.1,46.2
2026-01-29,quickplay,Americas,lijiang-tower,All,애쉬,DAMAGE,12.7,47.8
2026-01-29,quickplay,Americas,lijiang-tower,All,에코,DAMAGE,7.5,48.5
2026-01-29,quickplay,Americas,lijiang-tower,All,오리사,TANK,11.5,47.1
2026-01-29,quickplay,Americas,lijiang-tower,All,우양,SUPPORT,9.9,50.3
2026-01-29,quickplay,Americas,lijiang-tower,All,위도우메이커,DAMAGE,4.2,41.4
2026-01-29,quickplay,Americas,lijiang-tower,All,윈스턴,TANK,3.2,49.0
2026-01-29,quickplay,Americas,lijiang-tower,All,일리아리,SUPPORT,9.3,54.7
2026-01-29,quickplay,Americas,lijiang-tower,All,자리야,TANK,5.9,49.0
2026-01-29,quickplay,Americas,lijiang-tower,All,정커퀸,TANK,6.4,54.1
2026-01-29,quickplay,Americas,lijiang-tower,All,정크랫,DAMAGE,14.5,51.9
2026-01-29,quickplay,Americas,lijiang-tower,All,젠야타,SUPPORT,12.5,53.4
2026-01-29,quickplay,Americas,lijiang-tower,All,주노,SUPPORT,20.4,50.6
2026-01-29,quickplay,Americas,lijiang-tower,All,캐서디,DAMAGE,18.7,47.0
2026-01-29,quickplay,Americas,lijiang-tower,All,키리코,SUPPORT,20.6,46.3
2026-01-29,quickplay,Americas,lijiang-tower,All,토르비욘,DAMAGE,4.8,56.1
2026-01-29,quickplay,Americas,lijiang-tower,All,트레이서,DAMAGE,4.8,45.7
2026-01-29,quickplay,Americas,lijiang-tower,All,파라,DAMAGE,8.5,56.0
2026-01-29,quickplay,Americas,lijiang-tower,All,프레야,DAMAGE,6.5,44.2
2026-01-29,quickplay,Americas,lijiang-tower,All,한조,DAMAGE,9.5,49.7
2026-01-29,quickplay,Americas,lijiang-tower,All,해저드,TANK,3.3,50.2
2026-01-29,quickplay,Americas,busan,All,D.Va,TANK,12.4,49.3
2026-01-29,quickplay,Americas,busan,All,겐지,DAMAGE,11.0,49.3
2026-01-29,quickplay,Americas,busan,All,둠피스트,TANK,9.5,46.9
2026-01-29,quickplay,Americas,busan,All,라마트라,TANK,9.3,51.5
2026-01-29,quickplay,Americas,busan,All,라이프위버,SUPPORT,13.3,47.8
2026-01-29,quickplay,Americas,busan,All,라인하르트,TANK,13.0,54.3
2026-01-29,quickplay,Americas,busan,All,레킹볼,TANK,3.6,46.9
2026-01-29,quickplay,Americas,busan,All,로드호그,TANK,6.8,45.6
2026-01-29,quickplay,Americas,busan,All,루시우,SUPPORT,10.8,52.0
2026-01-29,quickplay,Americas,busan,All,리퍼,DAMAGE,11.1,51.9
2026-01-29,quickplay,Americas,busan,All,마우가,TANK,5.7,52.0
2026-01-29,quickplay,Americas,busan,All,메르시,SUPPORT,29.9,49.4
2026-01-29,quickplay,Americas,busan,All,메이,DAMAGE,8.1,52.5
2026-01-29,quickplay,Americas,busan,All,모이라,SUPPORT,26.8,50.0
2026-01-29,quickplay,Americas,busan,All,바스티온,DAMAGE,17.0,50.4
2026-01-29,quickplay,Americas,busan,All,바티스트,SUPPORT,8.4,47.8
2026-01-29,quickplay,Americas,busan,All,벤데타,DAMAGE,15.5,54.1
2026-01-29,quickplay,Americas,busan,All,벤처,DAMAGE,4.4,51.3
2026-01-29,quickplay,Americas,busan,All,브리기테,SUPPORT,7.8,53.6
2026-01-29,quickplay,Americas,busan,All,소전,DAMAGE,11.1,46.6
2026-01-29,quickplay,Americas,busan,All,솔저: 76,DAMAGE,17.3,50.7
2026-01-29,quickplay,Americas,busan,All,솜브라,DAMAGE,8.5,47.5
2026-01-29,quickplay,Americas,busan,All,시그마,TANK,8.5,51.5
2026-01-29,quickplay,Americas,busan,All,시메트라,DAMAGE,4.0,55.7
2026-01-29,quickplay,Americas,busan,All,아나,SUPPORT,26.5,46.8
2026-01-29,quickplay,Americas,busan,All,애쉬,DAMAGE,15.6,51.0
2026-01-29,quickplay,Americas,busan,All,에코,DAMAGE,7.1,49.2
2026-01-29,quickplay,Americas,busan,All,오리사,TANK,11.1,46.0
2026-01-29,quickplay,Americas,busan,All,우양,SUPPORT,10.1,51.4
2026-01-29,quickplay,Americas,busan,All,위도우메이커,DAMAGE,8.3,45.5
2026-01-29,quickplay,Americas,busan,All,윈스턴,TANK,4.1,50.1
2026-01-29,quickplay,Americas,busan,All,일리아리,SUPPORT,9.1,54.5
2026-01-29,quickplay,Americas,busan,All,자리야,TANK,5.7,50.2
2026-01-29,quickplay,Americas,busan,All,정커퀸,TANK,6.8,55.0
2026-01-29,quickplay,Americas,busan,All,정크랫,DAMAGE,11.7,48.5
2026-01-29,quickplay,Americas,busan,All,젠야타,SUPPORT,13.6,54.7
2026-01-29,quickplay,Americas,busan,All,주노,SUPPORT,21.9,51.1
2026-01-29,quickplay,Americas,busan,All,캐서디,DAMAGE,18.1,48.9
2026-01-29,quickplay,Americas,busan,All,키리코,SUPPORT,21.9,46.8
2026-01-29,quickplay,Americas,busan,All,토르비욘,DAMAGE,5.3,56.9
2026-01-29,quickplay,Americas,busan,All,트레이서,DAMAGE,4.7,46.4
2026-01-29,quickplay,Americas,busan,All,파라,DAMAGE,4.6,51.0
2026-01-29,quickplay,Americas,busan,All,프레야,DAMAGE,6.8,45.9
2026-01-29,quickplay,Americas,busan,All,한조,DAMAGE,9.5,48.0
2026-01-29,quickplay,Americas,busan,All,해저드,TANK,3.3,48.9
2026-01-29,quickplay,Americas,samoa,All,D.Va,TANK,10.5,47.1
2026-01-29,quickplay,Americas,samoa,All,겐지,DAMAGE,11.2,48.7
2026-01-29,quickplay,Americas,samoa,All,둠피스트,TANK,9.6,48.6
2026-01-29,quickplay,Americas,samoa,All,라마트라,TANK,9.4,51.6
2026-01-29,quickplay,Americas,samoa,All,라이프위버,SUPPORT,12.7,47.1
2026-01-29,quickplay,Americas,samoa,All,라인하르트,TANK,13.0,53.8
2026-01-29,quickplay,Americas,samoa,All,레킹볼,TANK,3.2,45.6
2026-01-29,quickplay,Americas,samoa,All,로드호그,TANK,7.1,45.7
2026-01-29,quickplay,Americas,samoa,All,루시우,SUPPORT,10.4,53.0
2026-01-29,quickplay,Americas,samoa,All,리퍼,DAMAGE,11.9,54.1
2026-01-29,quickplay,Americas,samoa,All,마우가,TANK,7.5,52.2
2026-01-29,quickplay,Americas,samoa,All,메르시,SUPPORT,29.2,49.7
2026-01-29,quickplay,Americas,samoa,All,메이,DAMAGE,8.2,52.7
2026-01-29,quickplay,Americas,samoa,All,모이라,SUPPORT,26.2,50.4
2026-01-29,quickplay,Americas,samoa,All,바스티온,DAMAGE,17.5,50.9
2026-01-29,quickplay,Americas,samoa,All,바티스트,SUPPORT,8.5,47.6
2026-01-29,quickplay,Americas,samoa,All,벤데타,DAMAGE,15.8,54.1
